Person,Wikipage,Preprocessed Wikipage,Description,Preprocessed Description
Airports,The **Vrsar Crljenka Airport** is an airport for general aviation in Croatia. It is located about 2 km southeast of Vrsar. The runway is 700m long and 18m wide.,vrsar crljenka airport airport general aviation croatia located km southeast vrsar runway long wide,airport,airport
Airports,"**Željava Air Base** , situated on the border between Croatia and Bosnia and
Herzegovina under the Plješevica mountain, near the city of Bihać, Bosnia, was
the largest underground airport and military air base in Yugoslavia, and one
of the largest in Europe. The facilities are shared by the local governments
of Bihać and Lika-Senj County in Croatia.",željava air base situated border croatia bosnia herzegovina plješevica mountain near city bihać bosnia largest underground airport military air base yugoslavia one largest europe facilities shared local governments bihać likasenj county croatia,airport,airport
Airports,"**Lošinj Airport** (IATA: **LSZ** , ICAO: **LDLO** ) is a privately owned
public airport 3.2 nautical miles (5.9 km) from Mali Lošinj on the island of
Lošinj, Croatia. It is registered for domestic and international traffic.",lošinj airport iata lsz icao ldlo privately owned public airport nautical miles km mali lošinj island lošinj croatia registered domestic international traffic,airport in Croatia,airport croatia
Airports,"**Lučko Airfield** (ICAO: **LDZL** , Croatian: _Zračno pristanište Lučko_ ) is
an airfield for general aviation and unscheduled air transport, located in
Ježdovec near Lučko, Croatia, 11 kilometres (6.8 mi) southwest of Zagreb. It
is operated by Aeroklub Zagreb and has two parallel grass runways measuring
850 by 30 metres (2,789 ft × 98 ft). Due to the lack of surfacing on the
runways, it is only used from spring to autumn in dry periods.",lučko airfield icao ldzl croatian zračno pristanište lučko airfield general aviation unscheduled air transport located ježdovec near lučko croatia kilometres mi southwest zagreb operated aeroklub zagreb two parallel grass runways measuring metres ft × ft due lack surfacing runways used spring autumn dry periods,airport in Croatia,airport croatia
Airports,"**Sir Seretse Khama International Airport** (IATA: **GBE** , ICAO: **FBSK** ),
located 15 kilometres (9 mi) north of downtown Gaborone, is the main
international airport of the capital city of Botswana. The airport is named
after Sir Seretse Khama, the first president of Botswana. It was opened in
1984 to handle regional and international traffic.",sir seretse khama international airport iata gbe icao fbsk located kilometres mi north downtown gaborone main international airport capital city botswana airport named sir seretse khama first president botswana opened handle regional international traffic,"airport in Gaborone, Botswana",airport gaborone botswana
Airports,"**Bacha Khan International Airport** (IATA: **PEW** , ICAO: **OPPS** ),
formerly known as **Peshawar International Airport** , is an international
airport located in Peshawar, Khyber Pakhtunkhwa, Pakistan. Located in the
southwestern end of the city of Peshawar, it is the fourth-busiest airport in
Pakistan. One of the main runways of the airport is crossed by a railway line known as
the Khyber train safari, which runs to the town of Landi Kotal in the Khyber
Pass for the express purpose of tourism.",bacha khan international airport iata pew icao opps formerly known peshawar international airport international airport located peshawar khyber pakhtunkhwa pakistan located southwestern end city peshawar fourthbusiest airport pakistan one main runways airport crossed railway line known khyber train safari runs town landi kotal khyber pass express purpose tourism,airport,airport
Airports,"**PAF Base Peshawar** is an airbase of the Pakistan Air Force (PAF) located in
Peshawar, Khyber Pakhtunkhwa, Pakistan. It is the operational site of the
PAF's Northern Air Command, located to the east of Bacha Khan International
Airport, which is shared by both civil aviation flights and military flights.",paf base peshawar airbase pakistan air force paf located peshawar khyber pakhtunkhwa pakistan operational site pafs northern air command located east bacha khan international airport shared civil aviation flights military flights,Pakistan Air Force base,pakistan air force base
Airports,"**Nogales International Airport** (IATA: **OLS** , ICAO: **KOLS** , FAA LID:
**OLS** ) is a county-owned public-use airport located 8 miles (7.0 nmi; 13
km) northeast of the central business district of Nogales, a city in Santa
Cruz County, Arizona, United States and is also a port of entry into the
United States. It is included in the Federal Aviation Administration (FAA)
National Plan of Integrated Airport Systems for 2019–2023, in which it is
categorized as a local general aviation facility. It is not served by any
commercial passenger airlines as of June 2014.",nogales international airport iata ols icao kols faa lid ols countyowned publicuse airport located miles nmi km northeast central business district nogales city santa cruz county arizona united states also port entry united states included federal aviation administration faa national plan integrated airport systems – categorized local general aviation facility served commercial passenger airlines june,"airport in Heroica Nogales, Mexico",airport heroica nogales mexico
Airports,"**Car Nicobar Air Force Base** (IATA: **CBD** , ICAO: **VOCX** ) is located in
IAF Camp village, on Car Nicobar Island in the Union territory of the Andaman
and Nicobar Islands, India.",car nicobar air force base iata cbd icao vocx located iaf camp village car nicobar island union territory andaman nicobar islands india,airport in India,airport india
Airports,"**Veer Savarkar International Airport** , also known as **Port Blair Airport**
(IATA: **IXZ** , ICAO: **VOPB** ) is an international airport located 2 km
(1.2 mi) south of Port Blair and is the main airport of the Andaman and
Nicobar Islands of India. Originally known as ""Port Blair Airport"", it was
renamed in 2002 after the Vinayak Damodar Savarkar who had been detained in
the Cellular Jail in the city for 10 years. It operates as a civil enclave,
sharing airside facilities with INS Utkrosh of the Indian Navy.",veer savarkar international airport also known port blair airport iata ixz icao vopb international airport located km mi south port blair main airport andaman nicobar islands india originally known port blair airport renamed vinayak damodar savarkar detained cellular jail city years operates civil enclave sharing airside facilities ins utkrosh indian navy,"civil enclave in Port Blair, India",civil enclave port blair india
Airports,"**INS Baaz** is an Indian naval air station under the joint-services Andaman
and Nicobar Command (ANC) of the Indian Armed Forces. It is located near
Campbell Bay, on Great Nicobar island in the Andaman & Nicobar Islands. It is
the southernmost air station of the Indian Armed Forces.",ins baaz indian naval air station jointservices andaman nicobar command anc indian armed forces located near campbell bay great nicobar island andaman nicobar islands southernmost air station indian armed forces,"airport in Andaman & Nicobar Islands, India",airport andaman nicobar islands india
Airports,"**INS Kohassa** (IATA: **IN 0053** , ICAO: **VODX** ) is an Indian naval air
station under the Andaman and Nicobar Command of the Indian Armed Forces. It
is located at Shibpur, a village located on North Andaman Island.",ins kohassa iata icao vodx indian naval air station andaman nicobar command indian armed forces located shibpur village located north andaman island,"airport in Andaman & Nicobar Islands, India",airport andaman nicobar islands india
Airports,"**Henderson Field** (IATA: **MDY** , ICAO: **PMDY** ) is a public airport
located on Sand Island in Midway Atoll, an unincorporated territory of the
United States. The airport is used as an emergency diversion point for ETOPS
operations. It is one of three airfields named after Major Lofton R. Henderson
(killed in the Battle of Midway during WWII), together with Henderson Field on
Midway's Eastern Island, and Henderson Field in the Solomon Islands.",henderson field iata mdy icao pmdy public airport located sand island midway atoll unincorporated territory united states airport used emergency diversion point etops operations one three airfields named major lofton r henderson killed battle midway wwii together henderson field midways eastern island henderson field solomon islands,Wikimedia list article,wikimedia list article
Airports,"**Johnston Island Air Force Base** is a former United States Air Force base on
the Johnston Atoll in the United States Minor Outlying Islands, in the Pacific
Ocean several hundred kilometers southwest of Hawaii. After its closure, it
briefly operated as Johnston Atoll Airport, until that also closed in 2005.",johnston island air force base former united states air force base johnston atoll united states minor outlying islands pacific ocean several hundred kilometers southwest hawaii closure briefly operated johnston atoll airport also closed,airport in Johnston Atoll,airport johnston atoll
Airports,"**Wake Island Airfield** (IATA: **AWK** , ICAO: **PWAK** ) is a military air
base located on Wake Island, which is known for the Battle of Wake Island
during World War II. It is owned by the U.S. Air Force and operated by the
611th Air Support Group. The airfield primarily serves military flight
activity within the Wake Island region; however, military presence is minimal
at the current time.",wake island airfield iata awk icao pwak military air base located wake island known battle wake island world war ii owned us air force operated th air support group airfield primarily serves military flight activity within wake island region however military presence minimal current time,"airport in United States Minor Outlying Islands, United States of America",airport united states minor outlying islands united states america
Airports,"**Johnston Atoll Airport** is located on the Johnston Atoll in the United
States Minor Outlying Islands, in the Pacific Ocean 717 nautical miles (1328
kilometers) southwest of Hawaii. It was an active U.S. military facility
during the 20th century, but the airport was shut down in 2005 and the runway
is not maintained. Although no longer a diversion airport, it is still
considered preferable to a dangerous water landing in an extreme emergency.",johnston atoll airport located johnston atoll united states minor outlying islands pacific ocean nautical miles kilometers southwest hawaii active us military facility th century airport shut runway maintained although longer diversion airport still considered preferable dangerous water landing extreme emergency,"airport in United States Minor Outlying Islands, United States of America",airport united states minor outlying islands united states america
Airports,"**Lade Airport** (Norwegian: _Lade flyplass_ , German: _Lade flugplatz_ ) was
an air station and later civilian airport located at Lade in Trondheim, Norway
which was in use from 1940 to 1965. It had a 1,140-meter (3,740 ft) concrete
runway. The facility was built by the Luftwaffe during World War II to provide air
defense for Trondheim and as a temporary airport until Værnes Air Station was
completed.",lade airport norwegian lade flyplass german lade flugplatz air station later civilian airport located lade trondheim norway use meter ft concrete runway facility built luftwaffe world war ii provide air defense trondheim temporary airport værnes air station completed,"airport in Trondheim, Norway",airport trondheim norway
Airports,"**Bergen Airport, Hjellestad** (Norwegian: _Bergen sjølufthavn, Hjellestad_ )
was a water airport serving Bergen, Norway from 1948 through 1951. Located at
Hjellestad, then in the municipality of Fana, the airport was variously used
by Norwegian Air Lines (DNL), Scandinavian Airlines System (SAS), Widerøe and
West Norway Airlines for seaplane routes eastwards to Oslo, southwards to
Haugesund and Stavanger, and northwards to Ålesund, Kristiansund and
Trondheim. Bergen Airport, Sandviken proved too small for DNL's routes with the
introduction of the Short Sandringham, most due to ship traffic in the area.",bergen airport hjellestad norwegian bergen sjølufthavn hjellestad water airport serving bergen norway located hjellestad municipality fana airport variously used norwegian air lines dnl scandinavian airlines system sas widerøe west norway airlines seaplane routes eastwards oslo southwards haugesund stavanger northwards ålesund kristiansund trondheim bergen airport sandviken proved small dnls routes introduction short sandringham due ship traffic area,former water aerodrome,former water aerodrome
Airports,"**Bergen Heliport, Nygårdstangen** (ICAO: **ENBG** ; Norwegian: _Bergen
helikopterplass, Nygårdstangen_ ) was a heliport situated at Nygårdstangen on
the shore of Store Lungegårdsvannet in Bergen, Norway. It was solely used for
air ambulance services to Haukeland University Hospital. The heliport was
owned and operated by Hordaland County Municipality, with helicopter services
provided by Norsk Luftambulanse (NLA).",bergen heliport nygårdstangen icao enbg norwegian bergen helikopterplass nygårdstangen heliport situated nygårdstangen shore store lungegårdsvannet bergen norway solely used air ambulance services haukeland university hospital heliport owned operated hordaland county municipality helicopter services provided norsk luftambulanse nla,"airport in Nygårdstangen, Bergen",airport nygårdstangen bergen
Airports,"**Herdla Airport** (Norwegian: _Herdla flyplass_ ; German: _Flugplatz Herdla_
) was a military air base situated on the island of Herdla in Askøy, Norway. It consisted of two wooden runways, 1,000 and 850 meters (3,280 and 2,790 ft)
long, respectively, in addition to wharfs for a water aerodrome. Herdla was originally proposed during the 1930s as the site of the main
airport for Bergen.",herdla airport norwegian herdla flyplass german flugplatz herdla military air base situated island herdla askøy norway consisted two wooden runways meters ft long respectively addition wharfs water aerodrome herdla originally proposed site main airport bergen,military air base in Norway,military air base norway
Airports,"**Larvik Airport, Fritzøe** (Norwegian: _Larvik flyplass, Fritzøe_ , ICAO:
**ENFZ** ) was a private airport situated at Yttersø in Larvik, Norway. Straddling the shore of the river of Numedalslågen, the airport featured a
900-meter (3,000 ft) grass runway. The airport was built in 1957.",larvik airport fritzøe norwegian larvik flyplass fritzøe icao enfz private airport situated yttersø larvik norway straddling shore river numedalslågen airport featured meter ft grass runway airport built,"airport in Larvik, Norway",airport larvik norway
Airports,"**Ålesund Airport, Sørneset** (Norwegian: _Ålesund sjøflyplass, Sørneset_ )
was a water aerodrome and later heliport situated at Nørvevika and later
Sørneset in Ålesund, Norway. The airport was, to a varying degree, used
between 1929 and 1979. It has since been demolished.",ålesund airport sørneset norwegian ålesund sjøflyplass sørneset water aerodrome later heliport situated nørvevika later sørneset ålesund norway airport varying degree used since demolished,"airport in Sørneset, Ålesund",airport sørneset ålesund
Airports,"**Kristiansand Airport, Kongsgårdbukta** (Norwegian: _Kristiansand sjøflyhavn,
Kongsgårdbukta_ ) was a water airport serving Kristiansand, Norway, from 1934
to 1939. Situated at Kongsgårdbukta, it consisted of a floating dock and a
small terminal building. Widerøe served the airport the first year, thereafter
flights were carried out by Norwegian Air Lines.",kristiansand airport kongsgårdbukta norwegian kristiansand sjøflyhavn kongsgårdbukta water airport serving kristiansand norway situated kongsgårdbukta consisted floating dock small terminal building widerøe served airport first year thereafter flights carried norwegian air lines,former water airport,former water airport
Airports,"**Kristiansand Naval Air Station** (Norwegian: _Marinens flystasjon
Kristiansand_ ) was a water military air base operated by the Royal Norwegian
Navy Air Service between 1919 and 1940. Situated at Tangen in the city center
of Kristiansand, Norway, it consisted of three hangars. The station was to
house both reconnaissance and fighter aircraft.",kristiansand naval air station norwegian marinens flystasjon kristiansand water military air base operated royal norwegian navy air service situated tangen city center kristiansand norway consisted three hangars station house reconnaissance fighter aircraft,former naval air base,former naval air base
Airports,"**Oslo Airport, Fornebu** (IATA: **FBU** , ICAO: **ENFB** ) (Norwegian: _Oslo
lufthavn, Fornebu_ ), was the primary international airport serving Oslo and
Eastern Norway from 1 June 1939 to 7 October 1998. It was then replaced by
Oslo Airport, Gardermoen, and the area has since been redeveloped. The airport
was located at Fornebu in Bærum, 8 kilometres (5.0 mi) from the city center.",oslo airport fornebu iata fbu icao enfb norwegian oslo lufthavn fornebu primary international airport serving oslo eastern norway june october replaced oslo airport gardermoen area since redeveloped airport located fornebu bærum kilometres mi city center,"former airport in Bærum, Akershus, Norway",former airport bærum akershus norway
Airports,"**Førde Airport, Øyrane** (IATA: **FDE** , ICAO: **ENFD** ; Norwegian: _Førde
lufthavn, Øyrane_ ) was a regional airport located at Øyrane in Førde, Norway. The municipal airport first opened as a water aerodrome, receiving a runway in
1970. Scheduled services started the following year, with Widerøe providing
flights to Bergen with the de Havilland Canada DHC-6 Twin Otter.",førde airport øyrane iata fde icao enfd norwegian førde lufthavn øyrane regional airport located øyrane førde norway municipal airport first opened water aerodrome receiving runway scheduled services started following year widerøe providing flights bergen de havilland canada dhc twin otter,"defunct airport in Øyrane, Norway",defunct airport øyrane norway
